"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Barbados","BRB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.0193432951303255","0.0186228409143815","0.0183684246779786","0.0178681110056396","0.0312153861645353","0.0303722064918142","0.0885579340291003","0.0881859300770916","0.115933357018643","0.15059948310371","0.251036476360732","0.302136155626623","0.426391162430528","0.979935576512594","1.34096311632544","1.32797236458363","2.31115908273211","2.30119275563441","3.40916985064258","5.44542672560354","7.32507956609401","","","","",
"Brunei Darussalam","BRN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0213607594936709","0.043489932885906","0.0424936386768448","0.038391640163562","0.0359520639147803","0.0311904761904762","0.0255269320843091","0.0377676208804426","0.037037037037037","0.0218889339278476","0.0193548387096774","0.0196525706264257","","","","",
"Bhutan","BTN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.00719599902454235","0.0108805427995916","0.0070363835153772","0.00576681655460806","0.00558777680986658","0.00557303679061672","0.00551866227626423","0.00571515659529071","0.00516526873303905","0.00544346818711573","0.00503387539996721","0.0136935533514658","0.0194227054015839","0.021838547046983","0.00451055295909622","0.013191069118564","0.00813068223815507","","","","",
"Botswana","BWA","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0501043841336117","0.0812324929971989","0.148703956343793","0.122933884297521","0.104938271604938","0.117584745762712","0.192364170337739","0.158919233004067","0.190779014308426","0.236653386454183","0.258936355710549","0.248679398618448","","","","",
"Central African Republic","CAF","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0.102903344358692","0.0985568461809222","0.100683207479324","0.110192837465565","0.099964298464834","0.0992555831265509","0.196919614600183","0.302093578755093","0.302093578755093","0.304640453418349","0.309330264009783","0.312250381235931","0.292775924286784","0.292775924286784","0.292775924286784","0.292775924286784","0.292775924286784","","","","",
"Canada","CAN","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.795985070360689","0.760443582272417","0.847093404759072","0.894552386098416","1.02136529442418","0.996826981354059","1.00929351195826","1.19006376833797","1.29250104018862","1.43959099470805","1.47762860398729","1.59271745774795","1.64338591991069","1.736590555997","1.6815971759691","1.58127204214708","1.74253059593059","1.73067496769347","1.73675488065306","2.40611780393599","3.00011930860662","3.16239074830018","3.50558486544941","4.52614358723419","5.15099263395058","6.0617768124307","7.04207360965633","7.05301713153478","7.37402019926093","7.36629991725152","7.75691631401914","7.92363867255995","","","","",
"Central Europe and the Baltics","CEB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.58886769550893","-0.538273933324877","-0.684530327647589","-0.668009998469622","-0.629328868994452","-0.588838621186984","-0.652463006733738","-0.584828728729444","-0.617466145618116","-0.639570818766539","0.212432878201464","0.293850675113803","0.302642838484196","0.344973452678172","0.617609250347211","0.94715763734939","1.12018349200628","1.5069754534149","2.0694794440135","2.89271866990866","3.77731699016916","5.23106381028182","7.05999820843571","7.99490724210697","9.76656413542668","11.0713147401859","10.9577853144732","11.4601418333614","11.1004335425223","13.0000839560071","14.6660579215746","14.4657169725317","","","","",
"Switzerland","CHE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.32623633709545","-1.53732522587516","-1.46972566238206","-0.581838219801948","-0.488658301158301","-0.322058636882853","-1.08865778581615","-0.657769606289228","-0.723187697931273","-0.354421661333601","1.26925355450237","1.24114699101238","1.39428877865666","1.44086659741801","1.52931310513075","1.76535675965665","1.84520278497612","1.81082075818918","1.87121948389156","1.91501482639244","2.08066062080661","2.52077433731025","2.75777144575381","3.15615564291004","3.67004446426829","4.20987326065763","5.04692420909364","5.81785917992268","5.6279560871892","5.71327520302532","6.58867766868602","7.62737458850533","","","","",
"Channel Islands","CHI","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2416721097322","5.17509142828516","7.794124223047","7.29075532225139","7.06571191201488","6.70424947372177","5.65515894966323","5.234705829354","3.26959362415162","2.63089346183902","3.2511602375368","5.64294279466742","5.29184126766046","5.27878024301181","5.16325574129042","4.57663287859157","3.67136659436009","5.5376095985233","6.02974675063647","8.06956292612233","4.82675315219909","7.75624305692938","7.83052572722972","8.89335523164306","10.4716407784829","11.9805341183335","14.1250913857867","17.271276260967","17.9372593789091","18.807244731427","22.7416094198326","26.1014678815697","","","","",
